factor,n,IC均,IC_t,p,同号年,inner_Q4-Q1,outer_Q4-Q1,双窗同号,inner四分位,outer四分位,q_BH,三关幸存
turnover,66130,-0.04535825828535162,-4.109654998472307,0.009266982988655338,6/6,-1.1153239896965577,-0.8978142087023488,True,+3.25/+3.22/+2.44/+2.14,+1.33/+1.41/+1.09/+0.43,0.15547981788294432,True
turnover20,66130,-0.05721590929624747,-3.447498815221618,0.018286870929856557,5/6,-0.9873741567202909,-1.2683222049333671,True,+3.19/+3.09/+2.55/+2.21,+1.53/+1.75/+0.88/+0.26,0.15547981788294432,True
idio,60077,-0.07505447820843304,-3.2694772656637183,0.02221140255470633,5/6,-0.19262196712757662,-1.0369159232411493,True,+3.05/+2.41/+2.64/+2.86,+1.40/+1.44/+1.50/+0.37,0.15547981788294432,True
gap20,66130,-0.04281824534743304,-2.9759024289297735,0.030945721364717824,5/6,-0.9071461717896425,-0.6434932736177171,True,+3.54/+2.27/+2.00/+2.63,+1.46/+0.93/+1.44/+0.81,0.16246503716476857,True
log_mv,66130,-0.04167907113718227,-2.6436767804902845,0.045773213381324014,5/6,0.8633393876491957,-2.652598989141072,False,+2.54/+2.68/+2.43/+3.40,+2.92/+1.40/+1.03/+0.27,0.19224749620156084,False
cci,66100,0.01905337157351297,2.120332879763159,0.08746868148487712,4/6,0.037057602490918384,1.9760387669952961,True,+2.64/+3.18/+2.55/+2.68,-0.11/+1.26/+1.23/+1.87,0.30614038519706993,False
pb_rank,65968,-0.04372469694023185,-1.9614566339981432,0.10708814533720482,5/6,0.613524777211881,-0.3579369624140256,False,+2.31/+2.56/+3.23/+2.92,+1.54/+0.80/+0.63/+1.18,0.3212644360116145,False
pdev,60536,-0.015058343025104823,-1.3430098575205398,0.23700643261220636,5/6,-0.1606001558846457,1.2171659472175524,False,+2.79/+2.76/+2.89/+2.63,+0.12/+1.31/+1.59/+1.34,0.503833513459095,False
kdj_k,66100,0.0142258108603847,1.3107349184081196,0.24691939730306242,5/6,0.2710067462376755,1.6771505545374785,True,+2.70/+2.57/+2.81/+2.97,+0.04/+0.91/+1.33/+1.72,0.503833513459095,False
elg_ratio,66083,-0.006523385884606471,-1.3089875850254804,0.2474668779210309,5/6,-0.4856201349247531,-0.37296621384578077,True,+2.91/+2.67/+3.05/+2.42,+1.21/+0.91/+1.26/+0.84,0.503833513459095,False
rsi6,66100,0.0157002538975326,1.2580882992536022,0.26391279276428786,3/6,-0.2826414115204985,1.8781068945692085,False,+2.83/+2.67/+3.01/+2.55,+0.09/+0.73/+1.31/+1.97,0.503833513459095,False
inst_net10,66130,-0.006486074612623014,-1.1264459338934378,0.31111750838016144,5/6,0.2556623171989507,-1.5440411377835594,False,+2.75/+3.00,+1.18/-0.37,0.5444556396652825,False
winner_rate,60536,-0.012658058705547972,-0.981055395904721,0.3716199655960002,4/6,0.3057505755058867,1.0410026428249641,True,+2.51/+2.70/+3.05/+2.82,+0.29/+1.19/+1.68/+1.33,0.6003091751935388,False
pos20,66130,0.008639103422183981,0.7690150957687352,0.47662016339682645,4/6,,,False,+2.55/+3.06/+2.72,+0.07/+1.02/+1.65,0.7149302450952397,False
mf_ratio,66083,0.0029258699182673153,0.4646143564060498,0.6617371970842536,3/6,0.24386870783601422,0.5868370417948843,True,+2.39/+2.78/+3.25/+2.63,+0.77/+0.65/+1.42/+1.36,0.8704896878013038,False
pe_rank,50081,-0.004768761045042581,-0.39010472312224775,0.7125239695444661,4/6,-0.5679355982589689,0.9888843200988193,False,+2.60/+2.44/+3.62/+2.03,+0.09/+1.46/+1.77/+1.08,0.8704896878013038,False
chip_conc,60536,0.0037102742585608073,0.28127690582593906,0.7897668961362563,2/6,-0.24879709015328677,-1.310891827035602,True,+2.86/+3.07/+2.52/+2.61,+1.90/+0.67/+1.52/+0.59,0.8704896878013038,False
north5,64726,0.014201586658474577,0.24710333691385014,0.8146537722954305,3/6,-2.8171891039388246,,False,+4.42/+2.12/+2.57/+1.61,+8.64/+0.83,0.8704896878013038,False
elg5,66083,-0.002989091802598461,-0.19763669913769705,0.8511128726143031,4/6,-1.300926310326933,0.17922704739384288,False,+3.35/+2.93/+2.71/+2.05,+1.13/+0.80/+0.96/+1.31,0.8704896878013038,False
rv_ratio,66130,-0.0027512414332703,-0.19729274755266937,0.8513679900202357,4/6,-0.6900518941359626,-0.0010666751996900592,True,+2.94/+2.95/+2.89/+2.25,+0.74/+1.63/+1.19/+0.74,0.8704896878013038,False
beta1000,64701,-0.00435668514105503,-0.17158817245536234,0.8704896878013038,3/6,1.206647638816814,0.6707728565927954,True,+2.17/+2.65/+2.85/+3.38,+0.48/+1.15/+1.68/+1.16,0.8704896878013038,False
